provincia,semana_id,anio_epi,semana,calendar_start_date,casos
COTOPAXI,2013-W10,2013,10,2013-03-10,0.0
TUNGURAHUA,2013-W10,2013,10,2013-03-10,0.0
CHIMBORAZO,2013-W10,2013,10,2013-03-10,0.0
CANAR,2013-W10,2013,10,2013-03-10,9.0
AZUAY,2013-W10,2013,10,2013-03-10,5.0
LOJA,2013-W10,2013,10,2013-03-10,2.0
SUCUMBIOS,2013-W10,2013,10,2013-03-10,0.0
NAPO,2013-W10,2013,10,2013-03-10,2.0
ORELLANA,2013-W10,2013,10,2013-03-10,4.0
PASTAZA,2013-W10,2013,10,2013-03-10,0.0
MORONA SANTIAGO,2013-W10,2013,10,2013-03-10,0.0
ZAMORA CHINCHIPE,2013-W10,2013,10,2013-03-10,0.0
GUAYAS,2013-W11,2013,11,2013-03-17,60.0
MANABI,2013-W11,2013,11,2013-03-17,57.0
LOS RIOS,2013-W11,2013,11,2013-03-17,52.0
EL ORO,2013-W11,2013,11,2013-03-17,32.0
ESMERALDAS,2013-W11,2013,11,2013-03-17,15.0
SANTA ELENA,2013-W11,2013,11,2013-03-17,4.0
GALAPAGOS,2013-W11,2013,11,2013-03-17,0.0
SANTO DOMINGO DE LOS TSACHILAS,2013-W11,2013,11,2013-03-17,7.0
CARCHI,2013-W11,2013,11,2013-03-17,0.0
IMBABURA,2013-W11,2013,11,2013-03-17,0.0
PICHINCHA,2013-W11,2013,11,2013-03-17,3.0
BOLIVAR,2013-W11,2013,11,2013-03-17,21.0
COTOPAXI,2013-W11,2013,11,2013-03-17,0.0
TUNGURAHUA,2013-W11,2013,11,2013-03-17,2.0
CHIMBORAZO,2013-W11,2013,11,2013-03-17,0.0
CANAR,2013-W11,2013,11,2013-03-17,14.0
AZUAY,2013-W11,2013,11,2013-03-17,0.0
LOJA,2013-W11,2013,11,2013-03-17,1.0
SUCUMBIOS,2013-W11,2013,11,2013-03-17,0.0
NAPO,2013-W11,2013,11,2013-03-17,17.0
ORELLANA,2013-W11,2013,11,2013-03-17,0.0
PASTAZA,2013-W11,2013,11,2013-03-17,2.0
MORONA SANTIAGO,2013-W11,2013,11,2013-03-17,7.0
ZAMORA CHINCIPE,2013-W11,2013,11,2013-03-17,0.0
GUAYAS,2013-W12,2013,12,2013-03-24,54.0
MANABI,2013-W12,2013,12,2013-03-24,59.0
LOS RIOS,2013-W12,2013,12,2013-03-24,70.0
EL ORO,2013-W12,2013,12,2013-03-24,38.0
ESMERALDAS,2013-W12,2013,12,2013-03-24,7.0
SANTA ELENA,2013-W12,2013,12,2013-03-24,19.0
GALAPAGOS,2013-W12,2013,12,2013-03-24,0.0
SANTO DOMINGO DE LOS TSACHILAS,2013-W12,2013,12,2013-03-24,2.0
CARCHI,2013-W12,2013,12,2013-03-24,0.0
IMBABURA,2013-W12,2013,12,2013-03-24,2.0
PICHINCHA,2013-W12,2013,12,2013-03-24,2.0
BOLIVAR,2013-W12,2013,12,2013-03-24,47.0
COTOPAXI,2013-W12,2013,12,2013-03-24,0.0
TUNGURAHUA,2013-W12,2013,12,2013-03-24,1.0
CHIMBORAZO,2013-W12,2013,12,2013-03-24,0.0
CANAR,2013-W12,2013,12,2013-03-24,5.0
AZUAY,2013-W12,2013,12,2013-03-24,2.0
LOJA,2013-W12,2013,12,2013-03-24,2.0
SUCUMBIOS,2013-W12,2013,12,2013-03-24,0.0
NAPO,2013-W12,2013,12,2013-03-24,19.0
ORELLANA,2013-W12,2013,12,2013-03-24,0.0
PASTAZA,2013-W12,2013,12,2013-03-24,0.0
MORONA SANTIAGO,2013-W12,2013,12,2013-03-24,10.0
ZAMORA CHINCIPE,2013-W12,2013,12,2013-03-24,0.0
GUAYAS,2013-W13,2013,13,2013-03-31,47.0
MANABI,2013-W13,2013,13,2013-03-31,41.0
LOS RIOS,2013-W13,2013,13,2013-03-31,119.0
EL ORO,2013-W13,2013,13,2013-03-31,56.0
ESMERALDAS,2013-W13,2013,13,2013-03-31,15.0
CARCHI,2013-W13,2013,13,2013-03-31,0.0
IMBABURA,2013-W13,2013,13,2013-03-31,1.0
PICHINCHA,2013-W13,2013,13,2013-03-31,5.0
BOLIVAR,2013-W13,2013,13,2013-03-31,35.0
COTOPAXI,2013-W13,2013,13,2013-03-31,0.0
TUNGURAHUA,2013-W13,2013,13,2013-03-31,2.0
CHIMBORAZO,2013-W13,2013,13,2013-03-31,0.0
CANAR,2013-W13,2013,13,2013-03-31,26.0
AZUAY,2013-W13,2013,13,2013-03-31,2.0
LOJA,2013-W13,2013,13,2013-03-31,1.0
SUCUMBIOS,2013-W13,2013,13,2013-03-31,0.0
NAPO,2013-W13,2013,13,2013-03-31,14.0
ORELLANA,2013-W13,2013,13,2013-03-31,0.0
PASTAZA,2013-W13,2013,13,2013-03-31,1.0
MORONA SANTIAGO,2013-W13,2013,13,2013-03-31,15.0
ZAMORA CHINCHIPE,2013-W13,2013,13,2013-03-31,2.0
GUAYAS,2013-W14,2013,14,2013-04-07,51.0
MANABI,2013-W14,2013,14,2013-04-07,38.0
LOS RIOS,2013-W14,2013,14,2013-04-07,90.0
EL ORO,2013-W14,2013,14,2013-04-07,76.0
ESMERALDAS,2013-W14,2013,14,2013-04-07,10.0
CARCHI,2013-W14,2013,14,2013-04-07,0.0
IMBABURA,2013-W14,2013,14,2013-04-07,5.0
PICHINCHA,2013-W14,2013,14,2013-04-07,0.0
BOLIVAR,2013-W14,2013,14,2013-04-07,11.0
COTOPAXI,2013-W14,2013,14,2013-04-07,1.0
TUNGURAHUA,2013-W14,2013,14,2013-04-07,1.0
CHIMBORAZO,2013-W14,2013,14,2013-04-07,0.0
CANAR,2013-W14,2013,14,2013-04-07,11.0
AZUAY,2013-W14,2013,14,2013-04-07,7.0
LOJA,2013-W14,2013,14,2013-04-07,2.0
SUCUMBIOS,2013-W14,2013,14,2013-04-07,0.0
NAPO,2013-W14,2013,14,2013-04-07,10.0
ORELLANA,2013-W14,2013,14,2013-04-07,8.0
PASTAZA,2013-W14,2013,14,2013-04-07,1.0
MORONA SANTIAGO,2013-W14,2013,14,2013-04-07,9.0
ZAMORA CHINCHIPE,2013-W14,2013,14,2013-04-07,1.0
GUAYAS,2013-W15,2013,15,2013-04-14,71.0
MANABI,2013-W15,2013,15,2013-04-14,28.0
LOS RIOS,2013-W15,2013,15,2013-04-14,8.0
EL ORO,2013-W15,2013,15,2013-04-14,101.0
ESMERALDAS,2013-W15,2013,15,2013-04-14,3.0
CARCHI,2013-W15,2013,15,2013-04-14,0.0
IMBABURA,2013-W15,2013,15,2013-04-14,3.0
PICHINCHA,2013-W15,2013,15,2013-04-14,1.0
BOLIVAR,2013-W15,2013,15,2013-04-14,13.0
COTOPAXI,2013-W15,2013,15,2013-04-14,1.0
TUNGURAHUA,2013-W15,2013,15,2013-04-14,0.0
CHIMBORAZO,2013-W15,2013,15,2013-04-14,0.0
CANAR,2013-W15,2013,15,2013-04-14,14.0
AZUAY,2013-W15,2013,15,2013-04-14,0.0
LOJA,2013-W15,2013,15,2013-04-14,9.0
SUCUMBIOS,2013-W15,2013,15,2013-04-14,1.0
NAPO,2013-W15,2013,15,2013-04-14,6.0
ORELLANA,2013-W15,2013,15,2013-04-14,44.0
PASTAZA,2013-W15,2013,15,2013-04-14,1.0
MORONA SANTIAGO,2013-W15,2013,15,2013-04-14,0.0
ZAMORA CHINCHIPE,2013-W15,2013,15,2013-04-14,2.0
GUAYAS,2013-W16,2013,16,2013-04-21,73.0
MANABI,2013-W16,2013,16,2013-04-21,47.0
LOS RIOS,2013-W16,2013,16,2013-04-21,79.0
EL ORO,2013-W16,2013,16,2013-04-21,57.0
ESMERALDAS,2013-W16,2013,16,2013-04-21,6.0
CARCHI,2013-W16,2013,16,2013-04-21,0.0
IMBABURA,2013-W16,2013,16,2013-04-21,1.0
PICHINCHA,2013-W16,2013,16,2013-04-21,1.0
BOLIVAR,2013-W16,2013,16,2013-04-21,0.0
COTOPAXI,2013-W16,2013,16,2013-04-21,1.0
TUNGURAHUA,2013-W16,2013,16,2013-04-21,1.0
CHIMBORAZO,2013-W16,2013,16,2013-04-21,0.0
CANAR,2013-W16,2013,16,2013-04-21,10.0
AZUAY,2013-W16,2013,16,2013-04-21,2.0
LOJA,2013-W16,2013,16,2013-04-21,5.0
SUCUMBIOS,2013-W16,2013,16,2013-04-21,0.0
NAPO,2013-W16,2013,16,2013-04-21,15.0
ORELLANA,2013-W16,2013,16,2013-04-21,60.0
PASTAZA,2013-W16,2013,16,2013-04-21,0.0
MORONA SANTIAGO,2013-W16,2013,16,2013-04-21,2.0
ZAMORA CHINCHIPE,2013-W16,2013,16,2013-04-21,0.0
GUAYAS,2013-W17,2013,17,2013-04-28,69.0
MANABI,2013-W17,2013,17,2013-04-28,44.0
LOS RIOS,2013-W17,2013,17,2013-04-28,69.0
EL ORO,2013-W17,2013,17,2013-04-28,33.0
ESMERALDAS,2013-W17,2013,17,2013-04-28,3.0
CARCHI,2013-W17,2013,17,2013-04-28,0.0
IMBABURA,2013-W17,2013,17,2013-04-28,1.0
PICHINCHA,2013-W17,2013,17,2013-04-28,0.0
BOLIVAR,2013-W17,2013,17,2013-04-28,5.0
COTOPAXI,2013-W17,2013,17,2013-04-28,0.0
TUNGURAHUA,2013-W17,2013,17,2013-04-28,0.0
CHIMBORAZO,2013-W17,2013,17,2013-04-28,0.0
CANAR,2013-W17,2013,17,2013-04-28,10.0
AZUAY,2013-W17,2013,17,2013-04-28,3.0
LOJA,2013-W17,2013,17,2013-04-28,4.0
SUCUMBIOS,2013-W17,2013,17,2013-04-28,0.0
NAPO,2013-W17,2013,17,2013-04-28,2.0
ORELLANA,2013-W17,2013,17,2013-04-28,25.0
PASTAZA,2013-W17,2013,17,2013-04-28,0.0
MORONA SANTIAGO,2013-W17,2013,17,2013-04-28,2.0
ZAMORA CHINCHIPE,2013-W17,2013,17,2013-04-28,1.0
GUAYAS,2013-W18,2013,18,2013-05-05,67.0
MANABI,2013-W18,2013,18,2013-05-05,43.0
LOS RIOS,2013-W18,2013,18,2013-05-05,70.0
EL ORO,2013-W18,2013,18,2013-05-05,47.0
ESMERALDAS,2013-W18,2013,18,2013-05-05,4.0
CARCHI,2013-W18,2013,18,2013-05-05,0.0
IMBABURA,2013-W18,2013,18,2013-05-05,1.0
PICHINCHA,2013-W18,2013,18,2013-05-05,0.0
BOLIVAR,2013-W18,2013,18,2013-05-05,11.0
COTOPAXI,2013-W18,2013,18,2013-05-05,3.0
TUNGURAHUA,2013-W18,2013,18,2013-05-05,0.0
CHIMBORAZO,2013-W18,2013,18,2013-05-05,0.0
CANAR,2013-W18,2013,18,2013-05-05,9.0
AZUAY,2013-W18,2013,18,2013-05-05,3.0
LOJA,2013-W18,2013,18,2013-05-05,0.0
SUCUMBIOS,2013-W18,2013,18,2013-05-05,0.0
NAPO,2013-W18,2013,18,2013-05-05,5.0
ORELLANA,2013-W18,2013,18,2013-05-05,33.0
PASTAZA,2013-W18,2013,18,2013-05-05,1.0
MORONA SANTIAGO,2013-W18,2013,18,2013-05-05,1.0
ZAMORA CHINCHIPE,2013-W18,2013,18,2013-05-05,1.0
GUAYAS,2013-W19,2013,19,2013-05-12,102.0
MANABI,2013-W19,2013,19,2013-05-12,25.0
LOS RIOS,2013-W19,2013,19,2013-05-12,68.0
EL ORO,2013-W19,2013,19,2013-05-12,65.0
ESMERALDAS,2013-W19,2013,19,2013-05-12,0.0
CARCHI,2013-W19,2013,19,2013-05-12,0.0
IMBABURA,2013-W19,2013,19,2013-05-12,0.0
PICHINCHA,2013-W19,2013,19,2013-05-12,0.0
BOLIVAR,2013-W19,2013,19,2013-05-12,13.0
COTOPAXI,2013-W19,2013,19,2013-05-12,1.0
TUNGURAHUA,2013-W19,2013,19,2013-05-12,0.0
CHIMBORAZO,2013-W19,2013,19,2013-05-12,0.0
CANAR,2013-W19,2013,19,2013-05-12,8.0
AZUAY,2013-W19,2013,19,2013-05-12,1.0
LOJA,2013-W19,2013,19,2013-05-12,1.0
SUCUMBIOS,2013-W19,2013,19,2013-05-12,1.0
NAPO,2013-W19,2013,19,2013-05-12,3.0
ORELLANA,2013-W19,2013,19,2013-05-12,34.0
PASTAZA,2013-W19,2013,19,2013-05-12,2.0
MORONA SANTIAGO,2013-W19,2013,19,2013-05-12,0.0
ZAMORA CHINCHIPE,2013-W19,2013,19,2013-05-12,1.0
GUAYAS,2013-W20,2013,20,2013-05-19,142.0
MANABI,2013-W20,2013,20,2013-05-19,10.0
LOS RIOS,2013-W20,2013,20,2013-05-19,35.0
EL ORO,2013-W20,2013,20,2013-05-19,55.0
ESMERALDAS,2013-W20,2013,20,2013-05-19,2.0
CARCHI,2013-W20,2013,20,2013-05-19,0.0
IMBABURA,2013-W20,2013,20,2013-05-19,0.0
PICHINCHA,2013-W20,2013,20,2013-05-19,1.0
BOLIVAR,2013-W20,2013,20,2013-05-19,21.0
COTOPAXI,2013-W20,2013,20,2013-05-19,0.0
TUNGURAHUA,2013-W20,2013,20,2013-05-19,0.0
CHIMBORAZO,2013-W20,2013,20,2013-05-19,0.0
CANAR,2013-W20,2013,20,2013-05-19,6.0
AZUAY,2013-W20,2013,20,2013-05-19,2.0
LOJA,2013-W20,2013,20,2013-05-19,0.0
SUCUMBIOS,2013-W20,2013,20,2013-05-19,1.0
NAPO,2013-W20,2013,20,2013-05-19,3.0
ORELLANA,2013-W20,2013,20,2013-05-19,19.0
PASTAZA,2013-W20,2013,20,2013-05-19,0.0
MORONA SANTIAGO,2013-W20,2013,20,2013-05-19,7.0
ZAMORA CHINCHIPE,2013-W20,2013,20,2013-05-19,0.0
GUAYAS,2013-W21,2013,21,2013-05-26,87.0
MANABI,2013-W21,2013,21,2013-05-26,15.0
LOS RIOS,2013-W21,2013,21,2013-05-26,38.0
EL ORO,2013-W21,2013,21,2013-05-26,48.0
ESMERALDAS,2013-W21,2013,21,2013-05-26,0.0
CARCHI,2013-W21,2013,21,2013-05-26,0.0
IMBABURA,2013-W21,2013,21,2013-05-26,0.0
PICHINCHA,2013-W21,2013,21,2013-05-26,2.0
BOLIVAR,2013-W21,2013,21,2013-05-26,14.0
COTOPAXI,2013-W21,2013,21,2013-05-26,0.0
TUNGURAHUA,2013-W21,2013,21,2013-05-26,1.0
CHIMBORAZO,2013-W21,2013,21,2013-05-26,0.0
CANAR,2013-W21,2013,21,2013-05-26,4.0
AZUAY,2013-W21,2013,21,2013-05-26,0.0
LOJA,2013-W21,2013,21,2013-05-26,0.0
SUCUMBIOS,2013-W21,2013,21,2013-05-26,0.0
NAPO,2013-W21,2013,21,2013-05-26,4.0
ORELLANA,2013-W21,2013,21,2013-05-26,29.0
PASTAZA,2013-W21,2013,21,2013-05-26,2.0
MORONA SANTIAGO,2013-W21,2013,21,2013-05-26,7.0
ZAMORA CHINCHIPE,2013-W21,2013,21,2013-05-26,0.0
GUAYAS,2013-W22,2013,22,2013-06-02,56.0
MANABI,2013-W22,2013,22,2013-06-02,21.0
LOS RIOS,2013-W22,2013,22,2013-06-02,43.0
EL ORO,2013-W22,2013,22,2013-06-02,30.0
ESMERALDAS,2013-W22,2013,22,2013-06-02,3.0
CARCHI,2013-W22,2013,22,2013-06-02,0.0
IMBABURA,2013-W22,2013,22,2013-06-02,2.0
PICHINCHA,2013-W22,2013,22,2013-06-02,2.0
BOLIVAR,2013-W22,2013,22,2013-06-02,15.0
COTOPAXI,2013-W22,2013,22,2013-06-02,0.0
TUNGURAHUA,2013-W22,2013,22,2013-06-02,0.0
CHIMBORAZO,2013-W22,2013,22,2013-06-02,0.0
CANAR,2013-W22,2013,22,2013-06-02,13.0
AZUAY,2013-W22,2013,22,2013-06-02,1.0
LOJA,2013-W22,2013,22,2013-06-02,0.0
SUCUMBIOS,2013-W22,2013,22,2013-06-02,0.0
NAPO,2013-W22,2013,22,2013-06-02,5.0
ORELLANA,2013-W22,2013,22,2013-06-02,14.0
PASTAZA,2013-W22,2013,22,2013-06-02,0.0
MORONA SANTIAGO,2013-W22,2013,22,2013-06-02,7.0
ZAMORA CHINCHIPE,2013-W22,2013,22,2013-06-02,0.0
GUAYAS,2013-W23,2013,23,2013-06-09,73.0
MANABI,2013-W23,2013,23,2013-06-09,5.0
LOS RIOS,2013-W23,2013,23,2013-06-09,42.0
EL ORO,2013-W23,2013,23,2013-06-09,50.0
ESMERALDAS,2013-W23,2013,23,2013-06-09,2.0
CARCHI,2013-W23,2013,23,2013-06-09,0.0
IMBABURA,2013-W23,2013,23,2013-06-09,1.0
PICHINCHA,2013-W23,2013,23,2013-06-09,1.0
BOLIVAR,2013-W23,2013,23,2013-06-09,1.0
COTOPAXI,2013-W23,2013,23,2013-06-09,7.0
TUNGURAHUA,2013-W23,2013,23,2013-06-09,1.0
CHIMBORAZO,2013-W23,2013,23,2013-06-09,0.0
CANAR,2013-W23,2013,23,2013-06-09,0.0
AZUAY,2013-W23,2013,23,2013-06-09,12.0
LOJA,2013-W23,2013,23,2013-06-09,1.0
SUCUMBIOS,2013-W23,2013,23,2013-06-09,1.0
NAPO,2013-W23,2013,23,2013-06-09,1.0
ORELLANA,2013-W23,2013,23,2013-06-09,7.0
PASTAZA,2013-W23,2013,23,2013-06-09,27.0
MORONA SANTIAGO,2013-W23,2013,23,2013-06-09,0.0
ZAMORA CHINCHIPE,2013-W23,2013,23,2013-06-09,1.0
GUAYAS,2013-W24,2013,24,2013-06-16,54.0
MANABI,2013-W24,2013,24,2013-06-16,14.0
LOS RIOS,2013-W24,2013,24,2013-06-16,22.0
EL ORO,2013-W24,2013,24,2013-06-16,33.0
ESMERALDAS,2013-W24,2013,24,2013-06-16,6.0
CARCHI,2013-W24,2013,24,2013-06-16,0.0
