variable,lag,efecto,lo,hi,modalidad
corte_hn,0.0,-0.0073841170076537205,-0.09331822417566338,0.07854999016035594,NAT
corte_hn,1.0,-0.0002915757518711336,-0.08480278017052187,0.0842196286667796,NAT
corte_hn,2.0,0.006507466912421537,-0.08288884661477681,0.09590378043961988,NAT
corte_hn,3.0,0.01271951239373438,-0.0860046760076544,0.11144370079512315,NAT
corte_hn,4.0,0.018051062100577473,-0.09193004045050954,0.12803216465166448,NAT
corte_hn,5.0,0.02220861744146091,-0.09883985535958069,0.1432570902425025,NAT
corte_hn,6.0,0.02489867982489477,-0.10556059670589141,0.15535795635568095,NAT
corte_hn,7.0,0.025830331093260453,-0.11155592445176725,0.16321658663828814,NAT
corte_hn,8.0,0.024867479121218183,-0.11705836550544042,0.16679332374787678,NAT
corte_hn,9.0,0.022114012133460377,-0.12278177270081611,0.16700979696773685,NAT
corte_hn,10.0,0.01769446182564996,-0.12919891960988214,0.16458784326118206,NAT
corte_hn,11.0,0.011733359893449844,-0.1362849860115928,0.1597517057984925,NAT
corte_hn,12.0,0.00435523803252296,-0.14349102805302286,0.1522015041180688,NAT
corte_hn,13.0,-0.004315372061467771,-0.14990747130568235,0.14127672718274684,NAT
corte_hn,14.0,-0.014151744361987125,-0.15465818943111545,0.1263547007071412,NAT
corte_hn,15.0,-0.0250016437461094,-0.15794266134464396,0.10793937385242518,NAT
corte_hn,16.0,-0.036696377609366636,-0.1610921210419447,0.08769936582321142,NAT
corte_hn,17.0,-0.04906697905593184,-0.16612480670632684,0.06799084859446318,NAT
corte_hn,18.0,-0.06194448118997802,-0.1754363819348029,0.05154741955484687,NAT
corte_hn,19.0,-0.07515991711567818,-0.19096919997487988,0.0406493657435235,NAT
corte_hn,20.0,-0.08854431993720535,-0.21313328396941944,0.036044644095008724,NAT
