modelo,MAE,RMSE,Deviance,LogScore,precision_alto,recall_alto,F1_alto,AUC_alto,N,n_params,familia,overdisp_train,N_train,umbral_alto_casos,accuracy,AUC,metodo
NAT|AR1,89.89523257712708,118.78182197891574,1143.5141849206866,-15.044322442632714,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.9487179487179487,52,3.0,nb,15.111152537864825,,,,,
NAT|AR1_harm,261.09121836725495,299.6977501424932,12794.870292962365,-127.07659271226422,0.0,0.0,,0.2879684418145957,52,7.0,nb,5.954478453556173,,,,,
NAT|AR1_clima,282.9965986321531,326.656011545477,16502.893537439035,-162.73066237069372,0.0,0.0,,0.26429980276134124,52,9.0,nb,5.969570227473391,,,,,
NAT|AR2_clima,289.22392960386765,332.59189923170425,17245.790447259868,-169.87390188820174,0.0,0.0,,0.26232741617357,52,10.0,nb,6.02150193008684,,,,,
NAT|AR1_clima_cortes,286.83448359110884,330.6858725575594,17081.901128443016,-168.29804305342427,0.0,0.0,,0.2603550295857988,52,10.0,nb,5.983985985906637,,,,,
NAT|XGB_completo,61.34651389488807,75.3861576430884,556.9965518888074,-9.404729817326187,1.0,0.07692307692307693,0.14285714285714288,0.8185404339250493,52,11.0,,,102.0,,,,
GYA|HYB_stage1_logreg,,,,,,,,,33,,,,,224.0,0.696969696969697,0.6727941176470589,LeaveOneOut
