modelo,MAE,RMSE,Deviance,LogScore,precision_alto,recall_alto,F1_alto,AUC_alto,N,n_params,maxlag,familia
SENS|dlnm_corte_L8,290.92354649729924,326.6549631976911,15443.644872929097,-152.54557905809813,0.0,0.0,,0.2445759368836292,52,,8,nb
SENS|dlnm_corte_L12,308.1563427996551,340.50830912042863,12175.975235798223,-121.12567870107053,0.0,0.0,,0.3254437869822485,52,,12,nb
SENS|dlnm_corte_L20,345.1229296732306,371.4121339282993,18145.726563135635,-178.52713377162266,0.0,0.0,,0.29783037475345164,52,,20,nb
